"ID";"Name";"Photo";"global_id";"AdmArea";"District";"Location";"RegistrationNumber";"State";"LocationType";"geodata_center";"geoarea";
"Локальный идентификатор";"Название объекта";"Фотография";"global_id";"Административный округ по адресу";"Район";"Месторасположение";"Государственный регистрационный знак";"Состояние регистрации";"Тип места расположения";"geodata_center";"geoarea";
"2622";"ВИРТУАЛЬНЫЙ СИМУЛЯТОР F-3";"38722986-9d49-4e28-96ed-9732b3fd1738";"2387217542";"Юго-Восточный административный округ";"район Кузьминки";"ПАРК КУЛЬТУРЫ И ОТДЫХА «КУЗЬМИНКИ»";"2387-77";"аттракцион зарегистрирован";"парк";"";"";
"2470";"SALTOMATTO";"22ce0fdf-fbb5-4176-a87e-c8647f1a1e6b";"2387217543";"Юго-Западный административный округ";"Обручевский район";"ГАУК Г.МОСКВЫ УСАДЬБА ВОРОНЦОВО";"2244-77";"аттракцион зарегистрирован";"парк";"";"";
"2626";"DISCOVERY 16 REVOLUTION";"f573d6e0-999d-4761-89b0-d32f997bc578";"2387217545";"Западный административный округ";"район Крылатское";"ПАРК «SKAZKA»";"2391-77";"аттракцион зарегистрирован";"парк";"";"";
"2627";"МИНИ-ДЖЕТ";"66403d8e-7544-4bd1-82ce-1639887338af";"2387217546";"Северо-Западный административный округ";"район Митино";"ЛАНДШАФТНЫЙ ПАРК МИТИНО";"2392-77";"аттракцион зарегистрирован";"парк";"";"";
"2628";"МИНИ-ДЖЕТ 5В";"4cb46769-6338-432c-9070-b3b35e1600bb";"2387217547";"Северо-Западный административный округ";"район Митино";"ЛАНДШАФТНЫЙ ПАРК МИТИНО";"2393-77";"аттракцион зарегистрирован";"парк";"";"";
"2629";"СПОРТКОМПЛЕКС БЕЗ ТЕНТА";"3f252164-3945-433f-bee5-4ccdf4897d4d";"2387217548";"Северо-Западный административный округ";"район Митино";"ЛАНДШАФТНЫЙ ПАРК МИТИНО";"2394-77";"аттракцион зарегистрирован";"парк";"";"";
"2630";"ЗООАРЕНА";"747260fa-abe4-4ceb-8e1b-b8f0391de31b";"2387259961";"Северо-Западный административный округ";"район Митино";"ЛАНДШАФТНЫЙ ПАРК МИТИНО";"2395-77";"аттракцион зарегистрирован";"парк";"";"";
"2631";"МАДАГАСКАР";"501d7b39-3067-44c7-a76c-d391f81e903c";"2387259962";"Северо-Западный административный округ";"район Митино";"ЛАНДШАФТНЫЙ ПАРК МИТИНО";"2396-77";"аттракцион зарегистрирован";"парк";"";"";
"2632";"СЛАСТЕНА";"f48df984-e7de-412b-8b54-b5c8f82bfd61";"2387259963";"Северо-Западный административный округ";"район Митино";"ЛАНДШАФТНЫЙ ПАРК МИТИНО";"2397-77";"аттракцион зарегистрирован";"парк";"";"";
"2633";"CAROUSEL DOUBLE STOREY 10MEH";"c76d9e7f-5bb1-428c-a297-b5e7d8ae0764";"2387259964";"Северо-Восточный административный округ";"район Южное Медведково";"ФЕСТИВАЛЬНАЯ ПЛОЩАДКА";"2398-77";"аттракцион зарегистрирован";"площадка";"";"";
"2634";"НАДУВНОЙ БАТУТ «ЧУДИКИ»";"def683e1-759c-4a0b-bf65-5655575c391a";"2387259965";"Восточный административный округ";"район Сокольники";"ПАРК КУЛЬТУРЫ И ОТДЫХА «СОКОЛЬНИКИ»";"2399-77";"аттракцион зарегистрирован";"парк";"";"";
"2635";"НАДУВНОЙ БАТУТ «ЧУДО КОНСТРУКТОР»";"82de01b4-8c0e-466d-86bc-283fbab6f259";"2387259966";"Восточный административный округ";"район Сокольники";"ПАРК КУЛЬТУРЫ И ОТДЫХА «СОКОЛЬНИКИ»";"2400-77";"аттракцион зарегистрирован";"парк";"";"";
"2513";"ГОРКА С ТРАМПЛИНОМ";"1229e25f-54e0-4ae7-962a-1e1256ae6e79";"2387259967";"Северо-Восточный административный округ";"район Лианозово";"ГАУК Г. МОСКВЫ ПАРК КУЛЬТУРЫ И ОТДЫХА «ЛИАНОЗОВСКИЙ»";"2284-77";"аттракцион зарегистрирован";"парк";"";"";
"2515";"ЗООАРЕНА";"3fbb1515-f623-49db-8c25-f6824492301f";"2387259968";"Северо-Восточный административный округ";"район Лианозово";"ГАУК Г. МОСКВЫ ПАРК КУЛЬТУРЫ И ОТДЫХА «ЛИАНОЗОВСКИЙ»";"2286-77";"аттракцион зарегистрирован";"парк";"";"";
"2637";"БАТУТНЫЙ КОМПЛЕКС «САВАННА ГБ КОБРА-4»";"2561ce41-976c-4017-9865-8f69497acb74";"2387259969";"Северо-Восточный административный округ";"район Бибирево";"ЭТНОГРАФИЧЕСКАЯ ДЕРЕВНЯ БИБИРЕВО";"2402-77";"аттракцион зарегистрирован";"парк";"";"";
"2641";"БАССЕЙН СБОРНЫЙ МНОГОУГОЛЬНЫЙ МЕТАЛЛИЧЕСКИЙ С ЭЛЕКТРОЛОДКАМИ";"88829819-59f6-402d-8aa5-4fcf48ed077a";"2387259970";"Северо-Восточный административный округ";"район Лианозово";"ГАУК Г. МОСКВЫ ПАРК КУЛЬТУРЫ И ОТДЫХА «ЛИАНОЗОВСКИЙ»";"2406-77";"аттракцион зарегистрирован";"парк";"";"";
"2645";"MINI TRAIN COASTER";"cd439aaf-949a-4572-b391-4ce85eec3aff";"2387259974";"Юго-Восточный административный округ";"район Кузьминки";"ПАРК КУЛЬТУРЫ И ОТДЫХА «КУЗЬМИНКИ»";"2410-77";"аттракцион зарегистрирован";"парк";"";"";
"2651";"БАТУТ ББ.3001";"a0ecfe7c-2769-4b7a-960c-d7dda2b62ca0";"2387259976";"Юго-Западный административный округ";"Обручевский район";"ГАУК Г.МОСКВЫ УСАДЬБА ВОРОНЦОВО";"2415-77";"аттракцион зарегистрирован";"парк";"";"";
"2328";"МГ.4049";"f79c9fea-48b7-4a7f-a3fd-b8b54df64f5a";"2387259977";"Восточный административный округ";"район Измайлово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ИЗМАЙЛОВСКИЙ»";"0202-77";"аттракцион зарегистрирован";"парк";"";"";
"2652";"GIANT WHEEL/КОЛЕСО ОБОЗРЕНИЯ 136/30/15";"da7f5c28-c595-4a7c-8d71-4aa49d93a86c";"2387301885";"Северо-Восточный административный округ";"Останкинский район";"«ВДНХ»";"2416-77";"аттракцион зарегистрирован";"парк";"";"";
"2519";"CAROUSEL DOUBLE STOREY 10MEH";"8636cc75-309f-4fca-814d-c60bee084dbe";"2389677599";"Юго-Западный административный округ";"район Тёплый Стан";"УЛ. ТЕПЛЫЙ СТАН, Д.1Б";"2290-77";"аттракцион зарегистрирован";"площадка";"";"";
"2662";"МИНИ-ДЖЕТ";"3792d177-10b7-47e2-b338-3c557e4defd6";"2390004973";"Юго-Восточный административный округ";"район Выхино-Жулебино";"УСАДЬБА ДЕДА МОРОЗА";"2426-77";"аттракцион зарегистрирован";"парк";"";"";
"2664";"РАКУШКИ";"48f75f8b-3a26-4acb-b2b4-7d531ff30007";"2392259101";"Восточный административный округ";"район Перово";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ПЕРОВСКИЙ»";"2428-77";"аттракцион зарегистрирован";"парк";"";"";
"2671";"ЗИМНЯЯ ЗАЛИВНАЯ ГОРКА САВУШКА ЗИМА - 12";"e0249e51-26e8-404c-bc47-ac1625af686a";"2402252317";"Западный административный округ";"район Крылатское";"ПАРК «SKAZKA»";"2430-77";"аттракцион зарегистрирован";"парк";"";"";
"2672";"ГОРКА ДЛЯ КАТАНИЯ НА НАДУВНЫХ САНЯХ (ТЮБИНГАХ) ВЕСЁЛЫЙ СПУСК";"40503aef-50f5-4cb3-b0db-d33bab5b3288";"2402252325";"Западный административный округ";"район Проспект Вернадского";"ПАРК 50-ЛЕТИЯ ОКТЯБРЯ";"2431-77";"аттракцион зарегистрирован";"парк";"";"";
"2674";"CAROUSEL DOUBLE STOREY 10MEH";"ad847d72-3508-4a14-aea2-4887adb8d200";"2425360749";"Центральный административный округ";"район Якиманка";"ПУШКИНСКАЯ НАБЕРЕЖНАЯ";"2433-77";"аттракцион зарегистрирован";"площадка";"";"";
"2675";"ЗИМНЯЯ ЗАЛИВНАЯ ГОРКА САВУШКА ЗИМА - 1";"a82b8c21-c2ae-4c07-9d99-d04fff8c05d2";"2426329067";"Северный административный округ";"Хорошёвский район";"ПАРК ХОДЫНСКОЕ ПОЛЕ";"2434-77";"аттракцион зарегистрирован";"парк";"";"";
"2676";"ГОРКА ЗИМНЯЯ - 0530";"d059c7bb-bd4a-49f9-ae59-d7fc0647fa16";"2426329069";"Центральный административный округ";"Таганский район";"ПАРК КУЛЬТУРЫ И ОТДЫХА ТАГАНСКИЙ";"2435-77";"аттракцион зарегистрирован";"парк";"";"";
"2678";"ГОРКА ДЕРЕВЯННАЯ ОДНОСКАТНАЯ, АРТ. 149";"418906f9-9c29-4eb7-b25f-a8781c07858b";"2449265869";"Южный административный округ";"район Орехово-Борисово Северное";"УСАДЬБА «ЦАРИЦЫНО»";"2437-77";"аттракцион зарегистрирован";"парк";"";"";
"2680";"CAROUSEL 7,60";"001119e5-ac19-462b-879c-0b70b4fdab39";"2507495822";"Троицкий административный округ";"поселение Троицк";"Г. МОСКВА, Г. ТРОИЦК, СИРЕНЕВЫЙ Б-Р, ВЛ.2";"2439-77";"аттракцион зарегистрирован";"площадка";"";"";
"2683";"ГОРКА ЗИМНЯЯ - 0527";"6a642a9b-e860-497d-a78d-24c28f1e3bcc";"2507495823";"Западный административный округ";"район Филёвский Парк";"ПАРК КУЛЬТУРЫ И ОТДЫХА «ФИЛИ»";"2442-77";"аттракцион зарегистрирован";"парк";"";"";
"2679";"КОМПЛЕКС СБОРНО-РАЗБОРНАЯ ГОРКА N 2016";"0f054c65-b270-4b76-aa53-7fed4185fda8";"2533871163";"Восточный административный округ";"район Сокольники";"ПАРК КУЛЬТУРЫ И ОТДЫХА «СОКОЛЬНИКИ»";"2438-77";"аттракцион зарегистрирован";"парк";"";"";
"2692";"ГОРКА ЗАЛИВНАЯ";"df002020-dc2d-4bd5-a6ec-27ab7460b91f";"2536105502";"Западный административный округ";"район Филёвский Парк";"ДЕТСКИЙ ПАРК ФИЛИ";"2446-77";"аттракцион зарегистрирован";"парк";"";"";
"2693";"ЗАЛИВНАЯ ГОРКА";"78cc34d5-3389-47e6-8d42-61b08bf5d4bc";"2536105505";"Западный административный округ";"район Филёвский Парк";"ДЕТСКИЙ ПАРК ФИЛИ";"2447-77";"аттракцион зарегистрирован";"парк";"";"";
